all_l_oks_rtree_10_dy_DAT1,all_l_oks_rtree_10_mt_DAT1,all_l_oks_rtree_5_dy_DAT1,all_l_oks_rtree_5_mt_DAT1,cpy_int_med_imp_dy_DAT1,cpy_int_med_imp_LC,cpy_int_med_imp_MFR_S205,cpy_int_med_imp_MFR_S206,cpy_int_med_imp_MFR_S411,cpy_int_med_imp_mt_DAT1,cpy_int_med_imp_qt_DAT1,cpy_int_med_imp_wk_DAT1,DATETIME,dy_DAT1,EM_PREDICTION,hs_bc_0_LC,hs_bc_p1_LC,hs_bc_p2_LC,hs_rtree_disct10_LC,hs_rtree_disct5_LC,LC,MFR_S205,MFR_S206,MFR_S411,mt_DAT1,nhoks_nloks_log_qt_DAT1,nhoks_nloks_pow_n0_5_qt_DAT1,nhoks_nloks_pow_p0_5_qt_DAT1,nhoks_nloks_pow_p1_qt_DAT1,nhoks_nloks_pow_p2_qt_DAT1,nhoks_nloks_rtree_10_qt_DAT1,nhoks_nloks_rtree_5_qt_DAT1,P_Gamma2,qt_DAT1,wk_DAT1,yr_DAT1,_WARN_,sample_id,sample_point_id,datetime_char,NNI,Gamma2,_dmIndex_,_PartInd_,Error,,
1,1,1,1,3,87,0.722,0.903,0.79,1,1,6,1893661200,3,192.4725882,2.833213344,16,144,3,2,87,0.722,0.903,0.79,1,0,1,1,1,1,1,1,192.4725882,1,6,2020,,2001003863,H12-S0411,03JAN20:09:00:00,24,180,1000001,1,6.92921565,65,
2,1,1,1,6,109,44.06,0.768,0.493,1,1,2,1893963600,6,413.9097907,3.663561646,38,760,7,5,109,44.06,0.768,0.493,1,0,1,1,1,1,1,1,413.9097907,1,2,2020,,2001008897,H12-S0411,06JAN20:21:00:00,50,350,1000002,0,18.2599402,3.500269251,percanetage
3,1,1,1,7,109,40.961,0.625,0.444,1,1,3,1894006800,7,325.0609569,3.663561646,38,760,7,5,109,40.961,0.625,0.444,1,0,1,1,1,1,1,1,325.0609569,1,3,2020,,2001009756,H12-S0411,07JAN20:09:00:00,50,310,1000003,1,4.85837319,,
3,1,1,1,7,110,50.9235,0.644,0.438,1,1,3,1894050000,7,329.7020195,3.688879454,39,799.5,8,5,110,50.9235,0.644,0.438,1,0,1,1,1,1,1,1,329.7020195,1,3,2020,,2001010481,H12-S0411,07JAN20:21:00:00,52,310,1000004,0,6.355490155,,
3,1,1,1,8,110,41.754,0.732,0.461,1,1,4,1894093200,8,353.3266108,3.688879454,39,799.5,8,5,110,41.754,0.732,0.461,1,0,1,1,1,1,1,1,353.3266108,1,4,2020,,2001011538,H12-S0411,08JAN20:09:00:00,51,340,1000005,0,3.919591406,,
3,1,1,1,8,109,31.1485,0.645,0.367,1,1,4,1894136400,8,315.1717212,3.663561646,38,760,7,5,109,31.1485,0.645,0.367,1,0,1,1,1,1,1,1,315.1717212,1,4,2020,,2001012263,H12-S0411,08JAN20:21:00:00,52,300,1000006,1,5.057240387,,
4,1,1,1,9,110,41.542,0.687,0.41,1,1,5,1894179600,9,336.8735766,3.688879454,39,799.5,8,5,110,41.542,0.687,0.41,1,0,1,1,1,1,1,1,336.8735766,1,5,2020,,2001013167,H12-S0411,09JAN20:09:00:00,52,330,1000007,2,2.082901994,,
4,1,1,1,9,108,43.291,0.558,0.411,1,1,5,1894222800,9,308.5382853,3.63758616,37,721.5,6,4,108,43.291,0.558,0.411,1,0,1,1,1,1,1,1,308.5382853,1,5,2020,,2001013865,H12-S0411,09JAN20:21:00:00,53,300,1000008,1,2.846095113,,
4,1,1,1,10,108,45.475,0.577,0.411,1,1,6,1894266000,10,314.1354212,3.63758616,37,721.5,6,4,108,45.475,0.577,0.411,1,0,1,1,1,1,1,1,314.1354212,1,6,2020,,2001014784,H12-S0411,10JAN20:09:00:00,54,300,1000009,1,4.711807053,,
4,1,1,1,10,108,47.087,0.567,0.411,1,1,6,1894309200,10,331.6532399,3.63758616,37,721.5,6,4,108,47.087,0.567,0.411,1,0,1,1,1,1,1,1,331.6532399,1,6,2020,,2001015498,H12-S0411,10JAN20:21:00:00,53,300,1000010,0,10.55107996,,
4,1,1,1,11,108,44.682,0.611,0.413,1,1,7,1894352400,11,317.0664323,3.63758616,37,721.5,6,4,108,44.682,0.611,0.413,1,0,1,1,1,1,1,1,317.0664323,1,7,2020,,2001016231,H12-S0411,11JAN20:09:00:00,52,300,1000011,1,5.68881078,,
4,1,1,1,11,108,43.816,0.592,0.428,1,1,7,1894395600,11,318.55039,3.63758616,37,721.5,6,4,108,43.816,0.592,0.428,1,0,1,1,1,1,1,1,318.55039,1,7,2020,,2001016825,H12-S0411,11JAN20:21:00:00,53,310,1000012,0,2.75819031,,
4,1,1,1,12,108,42.082,0.624,0.435,1,1,1,1894438800,12,325.3558687,3.63758616,37,721.5,6,4,108,42.082,0.624,0.435,1,0,1,1,1,1,1,1,325.3558687,1,1,2020,,2001017589,H12-S0411,12JAN20:09:00:00,52,310,1000013,1,4.953506029,,
